Let's try something.	Mari kita coba sesuatu.
Tom dreamed about Mary.	Tom memimpikan Mary
Tom doesn't want Mary to touch him.	Tom tidak ingin Mary menyentuhnya.
Tom doesn't think Mary wants to go.	Tom merasa Mary tidak ingin pergi.
Tom doesn't know whether Mary is telling the truth or not.	Tom tidak mengetahui apakah Mary berkata sejujurnya atau tidak.
Tom doesn't know when Mary will come back.	Tom tidak tahu kapan Mary akan kembali.
Tom doesn't know what Mary wants to eat for dinner.	Tom tidak tahu apa yang Mary inginkan untuk makan malam.
Tom doesn't know anything about Mary's plan.	Tom tidak mengetahui apapun tentang rencana Mary.
Tom didn't notice how Mary was dressed.	Tom tidak tahu bagaimana Mary berpakaian.
Tom didn't meet Mary or anyone else.	Tom tidak bertemu dengan Mary atau siapapun juga.
Tom bought a camera to give to Mary on her birthday.	Tom membeli sebuah kamera untuk diberikan kepada Mary pada hari ulang tahunnya.
Tom borrowed some money from Mary.	Tom meminjam sedikit uang dari Mary.
Tom asked Mary to teach him how to do the waltz.	Tom meminta Mary untuk mengajarinya bagaimana caranya berdansa wals.
Tom appreciated Mary's hard work.	Tom menghargai kerja keras Mary.
Tom and Mary have been married for about three years.	Tom dan Mary telah menikah selama kurang lebih 3 tahun.
Tom accepts that what Mary said was the truth.	Tom menerima bahwa apa yang dikatakan Mary adalah kenyataan.
Tom accepted Mary's invitation to have dinner with her.	Tom menerima undangan Mary untuk makan malam bersamanya.
The train came on time.	Keretanya datang tepat waktu.
Maybe she forgot my birthday.	Mungkin dia lupa hari ulang tahunku.
No matter what game you and I play together, you never win.	Macam apapun permainan yang aku dan kau mainkan, kau tidak pernah menang.
I say happy birthday.	Aku ucapkan selamat ulang tahun.
He is sleeping with two pillows.	Dia sedang tidur denga dua bantal.
Running water is clean water.	Air mengalir adalah air yang bersih.
Water and bread provide health.	Air dan roti memberikan kesehatan.
God gives, and God takes away.	Tuhan memberi, Tuhan mengambilnya.
All animals like their nests.	Semua binatang menyukai sarangnya.
Traffic lights are used to direct traffic.	Lampu lalu-lintas digunakan untuk mengatur lalu lintas.
We've been delayed by a traffic jam, so we'll need to hurry.	Kami telah tertunda oleh kemacetan lalu lintas, jadi kami harus bergegas.
Thank you for arriving to the interview.	Terima kasih atas kedatangan anda pada interview.
What can I do for you?	Apa yang bisa aku lakukan untuk kamu?
What is the meaning of the word "get" in this sentence?	Apa arti kata "get" dalam kalimat ini?
I am concerned, maybe he will receive an injury.	Saya kuatir, mungkin dia mendapatkan luka.
Let's give it a try.	Mari kita mencobanya.
Tom rolled out of bed at 6:30, shuffled into the kitchen and put two slices of bread into the toaster.	Tom turun dari ranjangnya jam 6:30, lalu beranjak menuju dapur dan meletakkan dua potong roti ke dalam pemanggang.
If anybody could convince Tom, it would be Mary.	Marylah satu-satunya yang dapat membujuk Tom.
Many students have part-time jobs.	Banyak siswa melakukan kerja sambilan.
Stop it!	Hentikan!
I translated, I translate, I will translate, I would translate... but only if I make money.	Saya telah menerjemahkan, saya sedang menerjemahkan, saya akan menerjemahkan... tapi hanya kalau saya mendapat uang.
He hired some new workers.	Dia mempekerjakan beberapa pekerja baru.
We always have to obey the rules.	Kami selalu patuh terhadap peraturan.
She has 2,000 books.	Dia punya 2.000 buku.
If I'm rich, I'll give you money.	Jika saya kaya, saya akan memberimu uang.
My friend's father is a famous novelist.	Ayah temanku adalah seorang novelis terkenal.
I was just joking.	Saya hanya bergurau.
I am just kidding.	Saya hanya bergurau.
Let's take the Intercity-Express.	Mari kita naik kereta Intercity-Express.
I'm going to the cinema.	Saya pergi ke bioskop.
His behaviour is sometimes weird.	Terkadang ia berperilaku aneh.
My brother is a teacher.	Saudaraku adalah seorang guru.
I can touch the sky with you.	Aku bisa menyentuh langit denganmu.
She's from Somalia.	Dia dari Somalia
He fits the description in the newspaper.	Dia cocok dengan apa yang tertulis di koran.
One way to deal with him is to let him think his own way.	Satu cara untuk menanganinya adalah membiarkannya berfikir dengan caranya sendiri.
What Jack told me about you is a pack of lies. I don't believe him.	Apa yang Jack bilang tentang kamu adalah sebuah kebohongan. Aku tidak mempercayainya.
It wasn't my fault.	Itu bukan salahku.
Are you being serious?	Apa kau serius?
Someone is knocking on the door.	Seseorang mengetuk pintu.
He has a child; his name is John.	Dia memiliki anak, namanya adalah Johanes.
My name is known by everyone in our town.	Namaku dikenal oleh semua orang di kota kami.
He called his name.	Dia memanggil namanya.
What is the name of your pharmacy?	Apa nama dari apotikmu?
What is your pharmacy's name?	Apa nama dari apotikmu?
That book is available in only one store.	Buku itu tersedia hanya di satu toko.
That leaflet can be obtained for free.	Selebaran itu bisa didapatkan dengan gratis.
He wastes a lot of money.	Dia membuang banyak uang.
Excuse me, which way to the station is the shortest?	Maaf, mana jalan menuju stasiun yang paling singkat?
The road runs parallel to the river.	Jalan itu sejajar dengan sungai.
People have chopped down some trees - not all of them - by the side of the road.	Orang menebangi pohon-pohon - tidak semua - disamping jalan.
It's only a ten-minute walk.	Hanya sepuluh menitan berjalan kaki.
I haven't washed my hair.	Aku belum keramas.
How would you feel if your wife left you?	Apa yang kau rasakan ketika istrimu meninggalkanmu?
You should read the kind of books that contain the kind of information that will be useful to you later in life.	Kamu harus membaca jenis buku yang informasinya dapat berguna untukmu di masa depan.
I often have bad dreams.	Aku sering bermimpi buruk.
Public transport is only quicker than private transport in urban areas.	Transportasi umum lebih cepat dibandingkan transportasi pribadi hanya di area urban.
The only thing that matters is whether or not you can do the job.	Satu-satunya yang menjadi masalah adalah bisa tidaknya kamu melakukan pekerjaan ini.
Have you already eaten supper?	Kamu sudah makan malam?
Have you eaten supper yet?	Kamu sudah makan malam belum?
He lives according to the law of the Lord.	Dia telah hidup sesuai aturan Tuhan
He thinks that his success is due to luck.	Dia menganggap kalau keberhasilannya adalah karena keberuntungan.
“Tom!” “Mary!”	"Tom!" "Mary!"
Hungry puppy barks on the street.	Anak anjing yang lapar mengonggong di jalan.
Are you going to school by bus?	Apa kau pergi ke sekolah dengan bus?
This makes me curious.	Ini membuatku penasaran.
Would you put those bags in the car?	Bisakah kau memasukkan tas-tas itu ke dalam mobil?
If you look at the song's lyrics, they really don't mean much.	Kalau kau melihat lirik lagunya, kau akan tahu kalau lirik itu tidak begitu berarti.
I'm a realistic person.	Aku adalah orang yang realistis.
Susan is an English name.	Susan adalah sebuah nama bahasa Inggris.
I'm disappointed in you.	Aku kecewa padamu.
Tom went to Boston to meet Mary.	Tom pergi ke Boston untuk menemui Mary.
Tom was looking for place to eat that had reasonable prices.	Tom mencari tempat makan dengan harga yang terjangkau.
Tom wanted to go into politics.	Tom ingin terjun ke dunia politik.
Tom wanted save up enough money to buy a car.	Tom ingin menyisihkan uangnya hingga cukup untuk membeli sebuah mobil.
Tom thought Mary seemed really happy.	Tom mengira Mary terlihat sangat senang.
Tom shut his eyes.	Tom memejamkan mata.
Tom says he doesn't want to study French.	Tom bilang dia tidak ingin belajar bahasa Perancis.
Tom said that he thought Mary didn't enjoy the movie.	Tom bilang kalau dia mengira Mary tidak menikmati filmnya.
Tom may talk to Mary if he wants to.	Tom akan berbicara dengan Mary jika dia ingin.
Tom isn't quite himself today.	Tom tidak seperti dirinya hari ini.
Tom hasn't said a word all evening.	Tom tidak berkata sepatah kata pun sepanjang sore.
Tom has difficulty making decisions.	Tom kesulitan dalam membuat keputusan.
Tom has a small cabin on the lakefront.	Tom memiliki sebuah pondok kecil di depan danau.
Tom has a headache.	Tom sakit kepala.
Tom had a little trouble finding Mary's house.	Tom sedikit kesulitan untuk menemukan rumah Mary.
Tom grows all the vegetables he eats.	Tom menanam sendiri semua sayuran yang ia makan.
Tom got rid of his old books.	Tom menyingkirkan buku-buku lamanya.
Tom fell down the stairs.	Tom jatuh dari tangga.
Tom doesn't trust what anyone says.	Tom tidak mau mempercayai apapun yang dikatakan orang lain.
Tom doesn't think this is such a good idea.	Tom merasa ini bukan ide yang baik.
Tom doesn't know what went wrong.	Tom tidak mengetahui apa yang salah.
Tom doesn't feel like studying.	Tom merasa seperti sedang tidak belajar.
Tom died a natural death.	Tom meninggal dengan wajar.
Tom didn't think you would like the idea.	Tom tidak yakin kau akan suka dengan ide itu.
Tom didn't think he could trust Mary.	Tom tidak yakin kalau dia bisa mempercayai Mary.
Tom didn't see the stop sign.	Tom tidak melihat rambu berhenti.
Tom decided to upload the video he took to YouTube.	Tom memutuskan untuk mengunggah video yang diambilnya ke YouTube.
Tom decided to run for class president.	Tom memutuskan untuk mencalonkan diri sebagai ketua kelas.
Tom cut himself shaving.	Tom terluka ketika sedang bercukur.
Tom currently teaches English in Japan.	Tom sekarang mengajar bahasa Inggris di Jepang.
Tom couldn't possibly have hit Mary.	Mana mungkin Tom memukul Mary.
Tom could see Mary was about ready to cry.	Tom melihat Mary ingin menangis.
Tom continued to study French for another three years.	Tom melanjutkan mempelajari bahasa Prancis hingga tiga tahun ke depan.
Tom certainly wasn't at home when we went to visit him.	Tom benar-benar tidak ada di rumah saat kami datang mengunjunginya.
Tom certainly isn't the genius he thinks he is.	Tom tidaklah sejenius yang dia pikirkan.
Tom can no longer afford to live in the style he is accustomed to.	Tom tidak lagi bisa hidup dengan gaya hidupnya yang biasa.
Tom and Mary have been dating for three months.	Tom dan Mary telah berkencan selama tiga bulan.
The bomb blew Tom's house to smithereens. Fortunately, he wasn't at home at the time.	Bom itu meledakkan rumah Tom menjadi berkeping-keping. Untungnya, dia tidak sedang berada di rumah saat itu.
If Tom hadn't helped Mary, she wouldn't have stood a chance of surviving.	Jika Tom tidak menolong Mary tadi, mungkin dia tidak akan selamat.
Shut up and let me think.	Saya sedikitpun tidak punya uang.
I wonder if I should really become a teacher.	Aku penasaran apakah aku benar-benar harus menjadi seorang guru.
Do you have enough money?	Apakah kamu punya uang cukup?
What are you eating?	Apa yang sedang kamu makan?
Does your friend like tea?	Apakah temanmu suka teh?
The fountain is over there.	Air mancurnya ada di sebelah sana.
His new movie is disappointing.	Film barunya mengecewakan.
No, not me, but you!	Bukan, bukan aku, tetapi kamu!
I'm too fat.	Aku terlalu gemuk.
Jump!	Lompat!
Hello, what is your name?	Halo, Siapa namamu ?
I am not kidding.	Aku tidak bercanda.
The event made him famous.	Kejadian itu membuat dia terkenal.
Susan, she likes cats.	Susan, dia suka kucing.
I don't want any sugar.	Saya tidak mau gula.
Is it something important?	Apakah ini penting?
Sorry!	Maaf!
Perhaps he missed the train.	Mungkin dia tadi ketinggalan kereta.
Monica didn't study a lot.	Dulu Monica tidak banyak belajar.
Monica doesn't study a lot.	Monica tidak banyak belajar.
I'd say the second one.	Menurut saya yang kedua.
My Chinese isn't very good.	Bahasa Cina saya kurang bagus.
Do they have a computer?	Apakah mereka punya komputer?
Did she say that?	Dia tadi bilang begitu?
These flowers have died.	Bunga-bunga ini sudah mati.
She said that?	Dia bilang begitu?
I wish I were in Paris.	Andaikan saya ada di Paris
He doesn't like fighting.	Dia tidak suka berkelahi.
I believe you know what you're supposed to be doing.	Saya yakin Anda tahu harus berbuat apa.
In my garden many trees are bearing fruit.	Banyak pohon di kebun saya sedang berbuah.
I believe you know what I mean.	Saya yakin Anda tahu apa maksud saya.
I'm from Brazil.	Saya dari Brazil
It is my cat.	Ini kucing saya.
Render that which is Caesar's to Caesar, and that which is God's to God.	Berikan pada Kaisar apa yang menjadi hak Kaisar, dan pada Tuhan apa yang menjadi hak Tuhan
The deer was killed by hunters.	Rusa itu dibunuh oleh para pemburu.
When Marcus arrived, I was sleeping.	Saya sedang tidur waktu Markus datang.
I met Tom just the other day in front of the station.	Waktu lalu saya bertemu Tom di depan stasiun.
Why is she here?	Kenapa dia ada di sini?
I have three chickens in my house.	Ada tiga ayam di rumah saya.
My chicken is here.	Ayam saya ada di sini
Where's the train station?	Stasiun kereta ada di mana?
I want to go and have a drink.	Saya ingin pergi minum.
I'm so hungry.	Aku sangat lapar.
See you tomorrow!	Sampai ketemu besok!
I'm not an idiot.	Saya bukan idiot.
I'm not stupid.	Saya tidak bodoh.
I'm not as stupid as you think I am.	Saya tidak sebodoh yang kamu kira.
Tom hasn't slept at all since the day before yesterday.	Tom belum tidur sama sekali sejak kemarin lusa.
Tom doesn't like speaking in public.	Tom tidak suka berbicara di depan umum.
How many people died?	Berapa banyak orang yang mati?
Sorry, I forgot.	Maaf, saya melupakannya.
Where was he headed?	Dia menuju ke mana?
What is wrong with you?	Ada apa denganmu?
Are you sure about this?	Apa kau yakin dengan hal ini?
Don't wake her up.	Jangan bangunkan dia.
Everything all right?	Apa semuanya baik-baik saja?
That door is locked.	Pintu itu terkunci.
I don't know who called you yesterday.	Aku tidak tahu siapa yang memanggilmu kemarin.
Let's do it!	Mari kita melakukannya!
20 minutes past 10 o'clock.	Jam 10 lewat 20 menit.
You know English?	Anda bisa bahasa Inggris?
He should have come.	Dia seharusnya datang.
Hold on a second.	Tunggu sebentar.
Is that so?	Apa benar begitu?
His data is often inaccurate.	Datanya sering tidak akurat.
His data is not accurate at all.	Datanya sama sekali tidak akurat.
Hurry!	Cepatlah!
Please hurry!	Cepatlah!
He's collecting various data.	Dia mengumpulkan berbagai data.
Hurry, or the plane will leave you behind.	Cepatlah, atau kamu akan ketinggalan pesawat.
Hurry, or the train will leave you behind.	Cepatlah, atau anda akan ketinggalan kereta.
Tango lives with a small boy in a little village.	Tango tinggal dengan seorang anak laki-laki di sebuah desa kecil.
The students did the work themselves.	Para siswa mengerjakan sendiri tugas mereka.
I'm fed up.	Aku muak.
Me too.	Aku juga.
I want to buy myself a garbage disposal.	Aku ingin membeli sebuah tempat pembuangan sampah.
How often do the buses come?	Seberapa sering busnya datang?
Farewell!	Sampai jumpa!
Greetings!	Salam!
Is Paris far away?	Apakah Paris jauh?
The more you study, the more you know.	Semakin banyak kamu belajar, semakin banyak kamu tahu.
Daddy, I can't walk any more. Could you give me a piggyback ride?	Ayah, aku sudah tidak kuat berjalan. Bisakah ayah menggendongku?
I wish I had this problem.	Saya berharap saya memperoleh problem ini.
He was immersed in the puzzle.	Dia terfokus pada teka-teki itu.
Would it be OK if I discussed it with my wife?	Bolehkah kalau saya diskusikan dengan istri saya?
Who's taking responsibility for the loss?	Siapa yang bertanggung jawab atas kehilangan ini?
Where did you go?	Ke mana kamu pergi?
Please don't die.	Tolong jangan mati.
I wish I could've stayed longer.	Aku berharap bisa tinggal lebih lama.
Tom would like some coffee.	Tom ingin kopi.
Tom won't let you go.	Tom tidak akan membiarkanmu pergi.
Tom was worn out.	Tom kelelahan.
Tom was happy.	Tom merasa bahagia.
Tom thinks you're lying.	Tom berpikir kalau kau berbohong.
Tom stood in line.	Tom berjajar dalam barisan.
Tom has a decent salary.	Tom punya gaji yang lumayan.
Good.	Bagus.
Go!	Pergi!
Yes!	Ya!
Hurray!	Hore!
Have a good summer vacation!	Semoga liburan musim panasmu menyenangkan!
He is kicking me!	Dia menendangku!
Today is Thursday.	Hari ini hari Kamis.
The king oppressed his people.	Raja itu telah menindas rakyatnya.
Are you kidding me?	Apa kau bercanda?
My house is on a hill.	Rumah saya terletak di sebuah bukit.
My fingers are so cold they have gone numb.	Jari-jariku terasa sangat dingin sampai-sampai mati rasa.
This is a great question.	Ini pertanyaan yang bagus
Thanks for your quick answer.	Terima kasih telah menjawabnya dengan cepat.
My brothers are dolphins.	Saudara laki-lakiku adalah lumba-lumba.
Is Mary well?	Apa Mary baik-baik saja?
Tom never saw Mary again.	Tom tidak pernah melihat Mary lagi.
Tom is my buddy.	Tom adalah temanku.
Tom couldn't find the bus stop.	Tom tidak dapat menemukan tempat pemberhentian busnya.
Fine!	Baik!
Roger!	Dimengerti!
Until the morning, the camp of the enemy army was surrounded.	Kamp milik musuh telah terkepung sampai pagi tiba.
I can't stand this hot weather.	Aku tidak tahan dengan cuaca panas ini.
I just can't stand this hot weather anymore.	Aku sudah tidak tahan lagi dengan cuaca panas ini.
I was late to the meeting because of a traffic jam.	Aku terlambat datang ke rapat karena terjebak macet.
The traffic was heavy so I was late for the meeting.	Kemacetannya parah sekali, akibatnya aku terlambat datang ke rapat.
Now mother, what’s the matter?	Jadi ibu, ada apa?
Password?	Kata sandi?
She shaved her armpits.	Dia mencukur bulu ketiaknya.
Let's try!	Mari kita coba!
Tom has a stomachache.	Tom sakit perut.
What is my purpose?	Apa tujuan yang ingin aku capai?
What do I do?	Apa yang sebaiknya kulakukan?
They won the silver medal.	Mereka memenangkan medali perak.
I want a puppy.	Aku ingin seekor anak anjing.
I met your son yesterday and he greeted me politely.	Aku bertemu dengan anak laki-lakimu kemarin dan ia menyapaku dengan sopan.
I don't need no fucking help.	Aku tidak butuh bantuanmu.
Which is the correct file?	Manakah berkas yang benar?
Unfortunately, she didn't come.	Sayangnya, dia tidak datang.
Which subject do you like the most?	Pelajaran mana yang paling kamu sukai?
I tried to help her, but there was no way I could.	Aku mencoba untuk menolongnya, tetapi tidak ada cara bagiku untuk bisa menolongnya.
Were I to ask him, then he would tell me the truth.	Kalau saja aku bertanya padanya, dia akan memberitahuku yang sebenarnya.
When was your first love?	Kapan cinta pertamamu?
I'm not a doctor.	Aku bukan dokter.
I am not a doctor.	Saya bukan dokter.
Please turn off the radio.	Tolong matikan radionya.
Turtles are reptiles.	Kura-kura adalah reptil.
Where are you off to?	Kau mau pergi ke mana?
I have a Chinese friend and I would like to ask him to give me Chinese lessons.	Aku punya teman orang Tiongkok dan ingin memintanya untuk memberiku pelajaran bahasa Mandarin.
We've known each other for years.	Sudah bertahun-tahun kami saling kenal.
Welcome to Tatoeba!	Selamat datang di Tatoeba!
The baby was in a deep sleep in his mother's arms.	Bayi itu tidur sangat lelap di pelukan ibunya.
I am trying to memorise the names of constellations.	Saya sedang mencoba menghafalkan nama-nama rasi bintang
I'm trying to memorize the names of constellations.	Saya sedang mencoba menghafalkan nama-nama rasi bintang
The concept doesn’t make sense.	Konsep itu tidak masuk akal.
I don't wish to meet with him again.	Saya tidak ingin bertemu lagi dengannya.
He seems sick.	Dia nampaknya sedang sakit.
Nature is full of mystery.	Alam semesta penuh dengan misteri.
I only need you.	Saya cuma perlu kamu.
Old people are usually very wise.	Orang tua biasanya sangat bijaksana.
I'm not gay, but my boyfriend is.	Saya bukan gay, tapi pacar saya gay.
I was the only one who didn't fall into the trap.	Saya satu-satunya yang tidak masuk dalam jebakan.
Parents are usually very wise.	Orang tua biasanya sangat bijaksana.
I'm not sure, but he might come.	Saya tidak yakin, tapi dia mungkin datang.
Forgive me if I haven't cooked supper well.	mohon maaf jika saya belum memasak makan malam dengan baik
Tom is married to Mary now, but at one time he was married to Alice.	Tom menikah dengan Mary saat ini, tetapi sebelumnya ia menikah dengan Alice.
He's eating lunch now.	Dia sedang makan siang sekarang.
I was still a student then.	Saya masih pelajar saat itu.
I'm so hungry!	Aku sangat lapar!
What time is the plane scheduled to land?	Jam berapa rencana kedatangan pesawat?
Black or white, a cat that catches mice is a great cat.	Entah hitam atau putih, seekor kucing yang menangkap tikus adalah kucing yang bagus.
I should cancel the trip to LA.	Saya sebaiknya membatalkan perjalanan ke LA.
Public transportation is only faster than private transportation in urban areas.	Transportasi umum lebih cepat dibandingkan transportasi pribadi hanya di area urban.
I'm happy to hear that.	Saya senang mendengar hal itu.
You are boring me!	Anda membuat saya bosan!
In order to buy a ticket, you'll have to wait at least an hour.	Untuk bisa membeli sebuah tiket, Anda harus menunggu paling tidak satu jam.
He asked us if we could draw a map of the United States.	Dia bertanya pada kami apakah kami bisa menggambar peta Amerika Serikat
Never forget it.	Jangan lupakan itu!
How can you arrive at this time?	Kenapa kamu baru sampai?
Good work!	Kerja yang bagus!
If a person has not had a chance to acquire his target language by the time he's an adult, he's unlikely to be able to reach native speaker level in that language.	Jika seseorang tidak berkesempatan untuk menguasai bahasa yang diinginkannya ketika menginjak dewasa, maka kecil kemungkinan ia akan bisa mencapai tingkatan penutur asli dalam bahasa tersebut.
Any further comment is redundant.	Komentar-komentar lebih lanjut sudah tidak diperlukan.
Give it to me.	Berikan padaku.
Call an ambulance!	Panggil ambulan！
That should be enough.	Itu cukup.
Have you forgotten about me?	Apakah kau telah melupakanku?
It is I.	Ini aku.
He's a newbie in Esperanto for sure.	Pasti dia pemula di bahasa Esperanto.
Cats don't eat bananas.	Kucing tidak makan pisang.
Could you please not smoke in this room?	Bisa tolong untuk tidak merokok tidak ruangan ini?
Please allow us to do the work.	Tolong izinkan kami mengambil pekerjaan ini.
I trust him.	Saya mempercayainya.
I'm allergic to synthetic rubber.	Aku alergi pada karet sintetis.
This is not an alien, it's just a strange animal.	Ini bukan makhluk asing, tapi seekor hewan yang aneh.
I want some paper.	Aku ingin kertas.
This is my room.	Ini adalah kamarku.
I have already finished reading this book.	Aku sudah selesai membaca buku ini.
A cat has two ears.	Kucing punya dua telinga.
I use Twitter.	Saya menggunakan Twitter.
That was fast.	Tadi itu cepat.
What was the result?	Bagaimana hasilnya?
The apple doesn't fall far from the tree.	Buah apel tidak jatuh jauh dari pohonnya.
Is it raining?	Apa sedang hujan?
The text needs to be translated into Belarusian.	Teks ini harus diterjemahkan ke bahasa Belarus.
Learn to speak English in little time!	Belajarlah berbicara dalam bahasa Inggris dengan sedikit waktu!
It is time to get up.	Sudah waktunya bangun.
He managed to swim across the river.	Dia berhasil berenang melewati sungai itu.
She's assertive.	Ia tegas.
She swims well.	Dia jago renang.
Is it really true?	Menang benar?
You're young.	Kamu muda.
He often doesn't come to school.	Dia sering tidak datang ke sekolah.
Work is so frustrating today.	Pekerjaan hari ini sangat melelahkan.
I'm tired of this monotonous life.	Aku lelah dengan hidup yang monoton ini.
She can take control of the situation.	Dia mampu menguasai situasi yang ada.
You have to create problems to create profit.	Kau harus membuat masalah agar mendapatkan keuntungan.
When my father found out that I've been going out with Nimrod Nick, he got very angry.	Ketika ayahku mendapatiku pergi keluar dengan Nimrod Nick, dia menjadi sangat marah.
When she told me that she was pregnant, I almost had a heart attack.	Saat ia memberitahuku bahwa ia hamil, aku hampir terkena serangan jantung.
I have to pay a little more attention.	Aku harus sedikit lebih memperhatikan.
Only my mother understands me.	Hanya ibuku yang mengerti aku.
Seriously?	Masa?
Don't worry, you can trust me.	Tidak perlu khawatir, percayalah padaku.
Don't make fun of me!	Jangan mempermainkanku!
Who wants to be a millionaire?	Siapa yang ingin menjadi jutawan?
Modern music boxes accept even USB flash drives now.	Kotak musik modern kini dapat membaca berkas-berkas dari USB flashdisk.
He isn't able to do it.	Dia tidak mampu melakukannya.
Are you serious about what you're saying?	Apa kau serius dengan apa yang kau katakan?
Do you have any questions about the food?	Apa kamu punya pertanyaan tentang makanannya?
I don't think I can get you to understand how difficult that is.	Aku tidak berpikir bahwa aku bisa membuatmu memahami betapa sulitnya itu.
That isn't enough.	Itu tidak cukup.
That doesn't suffice.	Itu tidak cukup.
They called their son John.	Mereka menamai anak laki-laki mereka John.
Tom felt the stiffness in his joints as he stood up after sitting in the same position for a long time.	Tom merasa persendiaanya kaku setelah duduk lama dalam posisi yang sama.
She felt him stiffen in surprise when he heard the news.	Dia membuatnya tersentak kaget saat ia mendengar berita tersebut.
My son believes in Santa Claus.	Anak laki-lakiku percaya akan Santa Claus.
Valentine's Day is close, and I still don't know what to give to her.	Hari Valentine hampir berakhir, dan aku masih tidak tahu apa yang akan kuberikan padanya.
I phoned him.	Aku meneleponnya.
Donostia is a city in the Basque Country.	Donostia itu suatu kota di negeri Basque.
I admit that, without him, those ten years of my life would have been empty and without goals.	Aku mengakui bahwa, tanpanya, sepuluh tahun kehidupanku akan menjadi kosong dan tanpa tujuan.
Speak out!	Bicaralah!
Pull!	Tarik!
Sit down!	Duduklah!
That's great!	Itu bagus!
Faster!	Lebih cepat!
Would you like to play tennis on Sundays?	Maukah kamu bermain tenis hari Minggu?
I'm still not ready.	Saya belum siap.
And here they are.	Dan di sinilah mereka.
It's me!	Ini aku!
We were here a year ago.	Setahun yang lalu kita di sini.
I'm thinking about changing my supplier.	Aku berpikir untuk mengganti pemasokku.
I am not a student.	Aku bukan pelajar.
The United States's economy is the largest in the world.	Perekonomian Amerika Serikat adalah yang terbesar di dunia.
What language do they speak in the United States?	Bahasa apa yang digunakan di Amerika Serikat
The desk Ken uses is old.	Meja yang digunakan Ken itu sudah tua.
Are you certain?	Apakah kamu yakin?
Let's do that!	Mari kita melakukannya!
I'm disappointed.	Aku kecewa.
Show it to me.	Perlihatkan itu padaku.
The men will be happy no matter what they get back.	Mereka akan tetap bahagia, terlepas dari apa yang akan mereka dapatkan kembali.
See you!	Sampai jumpa!
It's not a joke.	Ini bukan lelucon.
Done.	Selesai.
Mary came before I had waited ten minutes.	Mary datang sebelum aku sempat menunggu selama 10 menit.
I get the point.	Aku mengerti maksudmu.
She has a cheerful personality.	Dia punya kepribadian yang ceria.
I don't mean Vivaldi's, I mean Haydn's Oratorio, do you know it?	Tidak, bukan Oratorio Vivaldi yang aku maksud, tapi Oratorio Haydn, apa kau mengetahuinya?
He wondered how many times the sun would rise before his salary would.	Dia berpikir tentang berapa kali matahari akan naik sebelum gajinya.
Do you understand her?	Apa kamu mengerti dia?
I have just finished eating.	Saya baru saja selesai makan.
We have a reservation for six-thirty.	Kami sudah memesan yang pukul enam tiga puluh.
Feed the bird.	Beri makan burungnya.
They're still young.	Mereka masih muda.
Beautiful day.	Hari yang indah.
You do not need to go to the office on Saturday.	Hari Sabtu tidak perlu pergi ke kantor.
I do not need to go to the office on Saturday.	Hari Sabtu tidak perlu pergi ke kantor.
She has the choice to stay or go.	Dia punya pilihan untuk pergi atau tetap tinggal.
Have you already eaten dinner?	Kamu sudah makan malam?
These are all I have.	Ini semua yang saya punya.
That's all I have.	Ini semua yang saya punya.
He's a DJ.	Dia adalah seorang DJ.
Biodiversity is declining rapidly throughout the world.	Keanekaragaman hayati menurun drastis di seluruh dunia.
That was close.	Tadi itu hampir saja.
Goal!	Gol!
I told you no!	Kubilang tidak!
Let him wait!	Biarkan dia menunggu.
He is nothing.	Dia tidak ada apa-apanya.
Okay.	Baik.
Can you see the invisible man?	Kamu bisa melihat manusia transparan itu?
Is that really true?	Apa itu memang benar?
Croatia is in the southeastern part of Europe.	Kroasia berada di bagian tenggara Eropa.
Tom is a convicted felon.	Tom adalah penjahat terhukum.
Mary's shoes are dirty.	Sepatu Mary kotor.
Mary is carrying a watermelon.	Mary membawa semangka.
Tom fell down the stairs and hit his head.	Tom jatuh dari tangga dan kepalanya terbentur.
Burj Khalifa is currently the tallest skyscraper in the world.	Burj Khalifa saat ini gedung pencakar langit tertinggi di dunia.
Tom blew his top when he heard that Mary had gone out with John.	Tom menjadi emosi ketika ia mendengar kalau Mary pergi keluar dengan John.
Don't hesitate to ask a question if you don't understand.	Jangan ragu untuk menanyakan pertanyaan jika tidak mengerti.
Those folks are insane!	Orang-orang itu gila!
She was in the hospital for six weeks because of her illness.	Dia berada di rumah sakit selama enam minggu karena sakitnya
He was spreading mulch in the flower beds.	Dia menyebar mulsa di ladang bunga.
The building burst into flames.	Bangunannya dengan cepat terbakar oleh api.
The money disappeared.	Uang telah menghilang.
We must obey the rules.	Kita harus mematuhi peraturan.
I don't believe you. You're always lying.	Aku tidak percaya padamu. Kau selalu berbohong.
At first, I thought she was sick.	Pada awalnya aku mengira dia sakit.
Mary's favorite movie is The Princess Bride.	Film kesukaan Mary adalah The Princess Bride.
Mr. Smith is an acquaintance of hers.	Tuan Smith adalah kenalannya.
Night is when most people sleep.	Malam adalah waktu di mana kebanyakan orang beristirahat.
Tom passed away recently.	Tom meninggal dunia baru-baru ini.
I suspect that Tom doesn't do his homework by himself.	Aku menduga kalau Tom tidak mengerjakan PRnya sendiri.
I suggest we stay home and watch television.	Sebaiknya kita di rumah dan menonton televisi.
I have to go to the toilet.	Aku harus pergi ke toilet.
I must go to the toilet.	Aku harus pergi ke toilet.
